id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0484,일요일,il-yo-il,Sunday,noun,2,time-calendar,time-calendar,bab08|bab10,topik1-vocab|bab08|bab10|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-reading-skills-set|test-reading-20|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0485,비싸다,bi-ssa-da,to be expensive,adjective,2,shopping-money,shopping-money|descriptions-qualities,bab05|bab06|bab10,topik1-vocab|bab05|bab06|bab10|test-intermediate-1|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0486,왼쪽,oin-jjok,left side,noun,2,transport-directions,transport-directions,bab17,bab17|topik-core,bab17,bab,workbook+topik
kv0487,택시,taek-si,taxi,noun,2,transport-directions,transport-directions,bab16|bab17|bab18,topik1-vocab|bab16|bab17|bab18|test-intermediate-reading-3|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0488,시원하다,si-ueon-ha-da,to be cool / refreshing,adjective,2,weather-seasons,weather-seasons|descriptions-qualities,bab06,bab06|topik-core,bab06,bab,workbook+topik
kv0489,않다,anh-da,"to not be, to not do",verb,2,verbs-actions,verbs-actions,bab10,bab10|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,bab10,bab,workbook+topik
kv0490,공무원,gong-mu-ueon,civil servant,noun,2,people-occupations,people-occupations,bab11,bab11,bab11,bab,workbook
kv0491,오른쪽,o-reun-jjok,right side,noun,2,transport-directions,transport-directions,bab17,bab17|topik-core,bab17,bab,workbook+topik
kv0492,지도,ji-do,"map, atlas",noun,2,general-core,general-core,bab17,bab17|topik-core,bab17,bab,workbook+topik
kv0493,화장실,hoa-jang-sil,restroom / bathroom,noun,2,places-buildings,places-buildings|home-household,bab04|bab05|bab07|bab08,bab04|bab05|bab07|bab08|topik-core,bab04,bab,workbook+topik
